pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
IDFM:StopPlaceEntrance:50171250:IDFM:monomodalStopPlace:46984,IDFM:StopPlaceEntrance:50171250,IDFM:monomodalStopPlace:46984,1,1,71.29,90,,,,,
IDFM:StopPlaceEntrance:50171247:IDFM:monomodalStopPlace:47928,IDFM:StopPlaceEntrance:50171247,IDFM:monomodalStopPlace:47928,1,1,131.29,167,,,,,
IDFM:StopPlaceEntrance:50171245:IDFM:monomodalStopPlace:47590,IDFM:StopPlaceEntrance:50171245,IDFM:monomodalStopPlace:47590,1,1,127.7,162,,,,,
IDFM:StopPlaceEntrance:50171244:IDFM:monomodalStopPlace:43226,IDFM:StopPlaceEntrance:50171244,IDFM:monomodalStopPlace:43226,1,1,29.49,37,,,,,
IDFM:StopPlaceEntrance:50171243:IDFM:monomodalStopPlace:47595,IDFM:StopPlaceEntrance:50171243,IDFM:monomodalStopPlace:47595,1,1,104.04,132,,,,,
IDFM:StopPlaceEntrance:50171240:IDFM:monomodalStopPlace:46375,IDFM:StopPlaceEntrance:50171240,IDFM:monomodalStopPlace:46375,1,1,132.9,169,,,,,
IDFM:StopPlaceEntrance:50171239:IDFM:monomodalStopPlace:43209,IDFM:StopPlaceEntrance:50171239,IDFM:monomodalStopPlace:43209,1,1,40.08,51,,,,,
IDFM:StopPlaceEntrance:50171238:IDFM:monomodalStopPlace:47530,IDFM:StopPlaceEntrance:50171238,IDFM:monomodalStopPlace:47530,1,1,66.91,85,,,,,
IDFM:StopPlaceEntrance:50171237:IDFM:monomodalStopPlace:47916,IDFM:StopPlaceEntrance:50171237,IDFM:monomodalStopPlace:47916,1,1,104.22,132,,,,,
IDFM:StopPlaceEntrance:50171236:IDFM:monomodalStopPlace:47949,IDFM:StopPlaceEntrance:50171236,IDFM:monomodalStopPlace:47949,1,1,108.59,138,,,,,
IDFM:StopPlaceEntrance:50171231:IDFM:470761,IDFM:StopPlaceEntrance:50171231,IDFM:470761,1,1,86.04,109,,,,,
IDFM:StopPlaceEntrance:50171231:IDFM:470860,IDFM:StopPlaceEntrance:50171231,IDFM:470860,1,1,54.6,69,,,,,
IDFM:StopPlaceEntrance:50171231:IDFM:471185,IDFM:StopPlaceEntrance:50171231,IDFM:471185,1,1,104.21,132,,,,,
IDFM:StopPlaceEntrance:50171231:IDFM:471925,IDFM:StopPlaceEntrance:50171231,IDFM:471925,1,1,102.64,130,,,,,
IDFM:StopPlaceEntrance:50171231:IDFM:471958,IDFM:StopPlaceEntrance:50171231,IDFM:471958,1,1,49.96,63,,,,,
IDFM:StopPlaceEntrance:50171231:IDFM:472217,IDFM:StopPlaceEntrance:50171231,IDFM:472217,1,1,116,147,,,,,
IDFM:StopPlaceEntrance:50171231:IDFM:472625,IDFM:StopPlaceEntrance:50171231,IDFM:472625,1,1,81.29,103,,,,,
IDFM:StopPlaceEntrance:50171231:IDFM:monomodalStopPlace:43157,IDFM:StopPlaceEntrance:50171231,IDFM:monomodalStopPlace:43157,1,1,93.72,119,,,,,
